total_time,total_tasks_created,tasks_accepted,tasks_skipped,tasks_completed,total_reward,avg_queue_time,load_deviation,server_0_freq,server_1_freq,server_2_freq,episode,base_seed,policy
300,300,127,173,71,-346.3133,86.6044,0.0356,0.3333,0.3333,0.3333,6,1,RoundRobin
300,300,119,181,71,-350.6727,86.7242,0.0334,0.3333,0.3333,0.3333,7,1,RoundRobin
300,300,120,180,71,-350.502,86.834,0.0306,0.3333,0.3333,0.3333,8,1,RoundRobin
300,300,126,174,71,-345.2591,86.0864,0.0323,0.3333,0.3333,0.3333,9,1,RoundRobin
300,300,122,178,71,-349.3608,86.7869,0.0323,0.3333,0.3333,0.3333,10,1,RoundRobin
300,300,117,183,71,-351.3804,86.6268,0.0361,0.3333,0.3333,0.3333,11,1,RoundRobin
300,300,119,181,71,-349.5225,86.3408,0.0368,0.3333,0.3333,0.3333,12,1,RoundRobin
300,300,125,175,71,-349.8608,87.4536,0.0286,0.3333,0.3333,0.3333,13,1,RoundRobin
300,300,112,188,71,-354.7355,86.9118,0.0343,0.3333,0.3333,0.3333,14,1,RoundRobin
300,300,122,178,71,-349.0876,86.6959,0.0379,0.3333,0.3333,0.3333,15,1,RoundRobin
300,300,119,181,71,-353.4099,87.6366,0.038,0.3333,0.3333,0.3333,16,1,RoundRobin
300,300,124,176,71,-347.3672,86.4557,0.0358,0.3333,0.3333,0.3333,17,1,RoundRobin
300,300,118,182,71,-353.0213,87.3404,0.0307,0.3333,0.3333,0.3333,18,1,RoundRobin
300,300,120,180,71,-351.8603,87.2868,0.0319,0.3333,0.3333,0.3333,19,1,RoundRobin
300,300,124,176,71,-346.1643,86.0548,0.0386,0.3333,0.3333,0.3333,20,1,RoundRobin
300,300,118,182,71,-350.6087,86.5362,0.0382,0.3333,0.3333,0.3333,21,1,RoundRobin
300,300,118,182,71,-352.694,87.2313,0.0338,0.3333,0.3333,0.3333,22,1,RoundRobin
300,300,119,181,71,-350.0766,86.5255,0.0345,0.3333,0.3333,0.3333,23,1,RoundRobin
300,300,120,180,71,-348.91,86.3033,0.0394,0.3333,0.3333,0.3333,24,1,RoundRobin
300,300,126,174,71,-348.6591,87.2197,0.0335,0.3333,0.3333,0.3333,25,1,RoundRobin
300,300,120,180,71,-350.3669,86.789,0.03,0.3333,0.3333,0.3333,26,1,RoundRobin
300,300,115,185,71,-353.438,86.9793,0.0342,0.3333,0.3333,0.3333,27,1,RoundRobin
300,300,122,178,71,-348.4466,86.4822,0.034,0.3333,0.3333,0.3333,28,1,RoundRobin
300,300,121,179,71,-353.4697,87.9899,0.032,0.3333,0.3333,0.3333,29,1,RoundRobin
300,300,117,183,71,-352.0579,86.8526,0.0334,0.3333,0.3333,0.3333,30,1,RoundRobin
300,300,122,178,71,-350.8668,87.2889,0.0321,0.3333,0.3333,0.3333,31,1,RoundRobin
300,300,120,180,71,-349.9496,86.6499,0.0317,0.3333,0.3333,0.3333,32,1,RoundRobin
300,300,117,183,71,-348.8759,85.792,0.0335,0.3333,0.3333,0.3333,33,1,RoundRobin
300,300,120,180,71,-349.2318,86.4106,0.0378,0.3333,0.3333,0.3333,34,1,RoundRobin
300,300,119,181,71,-351.7925,87.0975,0.0311,0.3333,0.3333,0.3333,35,1,RoundRobin
300,300,116,184,71,-354.4789,87.493,0.0322,0.3333,0.3333,0.3333,36,1,RoundRobin
300,300,119,181,71,-349.8174,86.4391,0.033,0.3333,0.3333,0.3333,37,1,RoundRobin
300,300,122,178,71,-349.2625,86.7542,0.0354,0.3333,0.3333,0.3333,38,1,RoundRobin
300,300,120,180,71,-351.2895,87.0965,0.0306,0.3333,0.3333,0.3333,39,1,RoundRobin
300,300,121,179,71,-350.4002,86.9667,0.0354,0.3333,0.3333,0.3333,40,1,RoundRobin
300,300,122,178,71,-350.2413,87.0804,0.0383,0.3333,0.3333,0.3333,41,1,RoundRobin
300,300,125,175,71,-346.4891,86.3297,0.0345,0.3333,0.3333,0.3333,42,1,RoundRobin
300,300,118,182,71,-351.9544,86.9848,0.0313,0.3333,0.3333,0.3333,43,1,RoundRobin
300,300,119,181,71,-348.7651,86.0884,0.0327,0.3333,0.3333,0.3333,44,1,RoundRobin
300,300,121,179,71,-346.1213,85.5404,0.0426,0.3333,0.3333,0.3333,45,1,RoundRobin
300,300,119,181,71,-351.7539,87.0846,0.035,0.3333,0.3333,0.3333,46,1,RoundRobin
300,300,114,186,71,-355.9992,87.6664,0.0349,0.3333,0.3333,0.3333,47,1,RoundRobin
300,300,112,188,71,-356.497,87.499,0.0334,0.3333,0.3333,0.3333,48,1,RoundRobin
300,300,121,179,71,-352.291,87.597,0.0341,0.3333,0.3333,0.3333,49,1,RoundRobin
300,300,116,184,71,-353.9777,87.3259,0.0346,0.3333,0.3333,0.3333,50,1,RoundRobin
300,300,117,183,71,-351.6169,86.7056,0.0362,0.3333,0.3333,0.3333,51,1,RoundRobin
300,300,119,181,71,-353.064,87.5213,0.0327,0.3333,0.3333,0.3333,52,1,RoundRobin
300,300,126,174,71,-347.1022,86.7007,0.035,0.3333,0.3333,0.3333,53,1,RoundRobin
300,300,119,181,71,-352.484,87.328,0.0335,0.3333,0.3333,0.3333,54,1,RoundRobin
300,300,121,179,71,-352.1776,87.5592,0.0309,0.3333,0.3333,0.3333,55,1,RoundRobin
300,300,118,182,71,-351.2432,86.7477,0.0354,0.3333,0.3333,0.3333,56,1,RoundRobin
300,300,122,178,71,-347.6961,86.232,0.0387,0.3333,0.3333,0.3333,57,1,RoundRobin
300,300,121,179,71,-352.7614,87.7538,0.0333,0.3333,0.3333,0.3333,58,1,RoundRobin
300,300,122,178,71,-349.726,86.9087,0.0317,0.3333,0.3333,0.3333,59,1,RoundRobin
300,300,121,179,71,-350.806,87.102,0.0341,0.3333,0.3333,0.3333,60,1,RoundRobin
300,300,126,174,71,-344.7637,85.9212,0.0379,0.3333,0.3333,0.3333,61,1,RoundRobin
300,300,118,182,71,-351.7696,86.9232,0.031,0.3333,0.3333,0.3333,62,1,RoundRobin
