Episode,"Case 1: α=0.5, γ=0.2, ε=0.1","Case 2: α=0.1, γ=0.95, ε=0.2","Case 3: α=0.1, γ=0.8, ε=0.7"
297,-4.0,23.5,15.5
298,22.5,23.5,-9.5
299,23.5,-4.0,-7.5
300,17.5,0.0,-2.0
301,3.0,23.5,-13.5
302,22.5,-2.0,-6.5
303,24.5,23.0,-8.5
304,23.5,2.5,-9.0
305,22.0,24.5,-3.0
306,23.5,22.5,-5.5
307,0.0,24.5,-9.5
308,23.5,23.5,-4.0
309,21.5,23.0,-8.0
310,22.0,24.0,-5.5
311,24.5,23.5,-6.5
312,-5.5,19.5,-5.5
313,22.5,24.0,-6.5
314,23.5,17.0,-7.0
315,20.0,23.5,-3.5
316,22.5,24.5,9.5
317,23.5,23.5,-9.0
318,23.5,20.0,-11.0
319,23.0,-6.0,-6.0
320,23.5,-1.5,-7.0
321,-3.0,-2.0,-4.0
322,22.5,23.5,-15.5
323,22.5,24.5,-14.0
324,22.0,-1.5,16.0
325,25.0,-3.0,-4.5
326,23.5,22.5,-5.5
327,23.5,22.5,-4.0
328,18.5,22.0,-10.5
329,23.5,24.0,-12.0
330,23.5,0.0,-9.5
331,18.5,0.5,-5.0
332,-3.0,24.0,-8.0
333,23.5,23.5,-5.5
334,-4.5,23.0,-2.5
335,-0.5,0.5,-6.0
336,-7.0,-3.0,-11.5
337,23.5,22.0,-2.0
338,23.0,22.5,11.0
339,-18.5,-0.5,-6.5
340,18.0,24.0,-15.5
341,23.5,22.5,-6.5
342,22.5,0.5,-4.0
343,-2.0,-4.0,-12.0
344,1.0,1.0,-6.5
345,0.5,23.0,-4.5
346,-1.0,23.5,-4.5
347,-0.5,-7.0,18.5
348,10.0,24.5,-8.0
349,24.0,23.5,-11.0
350,1.0,23.5,-8.0
351,24.5,23.5,-6.0
352,22.0,24.0,-6.0
353,18.5,-5.0,-4.5
354,23.5,17.0,-0.5
355,25.0,-5.0,-5.5
356,18.0,21.5,-4.5
357,1.5,24.5,-6.0
358,-1.0,23.5,-4.0
359,23.0,0.0,-11.5
360,21.0,22.5,-7.5
361,22.5,21.0,-6.0
362,21.0,19.0,-5.0
363,20.0,23.0,-5.5
364,21.0,24.0,-10.0
365,1.0,23.5,2.5
366,23.5,24.5,-3.5
367,23.0,22.0,-2.0
368,1.0,22.5,-15.5
369,25.0,-10.0,-5.0
370,-1.0,24.5,-8.0
371,18.0,0.0,-4.5
372,23.0,23.5,-2.0
373,22.0,-1.0,-2.5
374,24.5,24.0,-7.5
375,23.0,24.0,-17.5
376,20.0,17.5,-1.0
377,22.5,16.5,0.5
378,-2.5,21.0,-9.0
379,21.0,21.5,-1.0
380,22.0,22.0,-7.0
381,23.0,-1.0,-2.5
382,23.0,24.5,-4.0
383,24.0,20.5,-6.0
384,23.5,-1.5,-5.0
385,22.0,-2.0,-5.5
386,1.0,-2.5,17.5
387,-3.0,24.0,-15.0
388,0.0,24.5,-8.5
389,24.5,23.5,-4.5
390,22.5,-5.5,-4.0
391,1.0,23.0,-5.0
392,22.0,2.5,-8.0
393,22.5,23.5,-14.0
394,22.5,22.5,-7.0
395,22.0,24.0,-8.0
